CaseID,PortName,State,PortCode,Border,Date,Measure,Total Number of Entries,Longitude,Latitude
1,Van Buren,Maine,108,US-Canada Border,12/1/2018,Buses,0,-67.94271,47.16207
2,Raymond,Montana,3301,US-Canada Border,12/1/2018,Buses,1,-104.575,48.99667
3,Roosville,Montana,3318,US-Canada Border,12/1/2018,Buses,1,-115.04512,48.88171
4,Eastport,Maine,103,US-Canada Border,12/1/2018,Buses,1,-66.99387,44.90357
5,Fortuna,North Dakota,3417,US-Canada Border,12/1/2018,Buses,1,-103.77906,48.91086
6,Madawaska,Maine,109,US-Canada Border,12/1/2018,Buses,1,-68.3271,47.35446
7,Porthill,Idaho,3308,US-Canada Border,12/1/2018,Buses,1,-116.49828,48.99282
8,Fort Kent,Maine,110,US-Canada Border,11/1/2018,Buses,1,-68.58458,47.26878
9,Dalton Cache,Alaska,3106,US-Canada Border,11/1/2018,Buses,1,-135.40995,59.10606
10,Norton,Vermont,211,US-Canada Border,11/1/2018,Buses,1,-71.79528,45.01
11,Raymond,Montana,3301,US-Canada Border,11/1/2018,Buses,1,-104.575,48.99667
12,Anacortes,Washington,3010,US-Canada Border,11/1/2018,Buses,1,-122.61739,48.49988
13,Porthill,Idaho,3308,US-Canada Border,11/1/2018,Buses,1,-116.49828,48.99282
14,Port Angeles,Washington,3007,US-Canada Border,11/1/2018,Buses,1,-123.4328,48.11365
15,Laurier,Washington,3016,US-Canada Border,11/1/2018,Buses,1,-118.22302,48.99892
16,Whitlash,Montana,3321,US-Canada Border,11/1/2018,Trucks,1,-111.249,48.90372
17,Northgate,North Dakota,3406,US-Canada Border,11/1/2018,Buses,1,-102.39634,48.89848
18,Norton,Vermont,211,US-Canada Border,10/1/2018,Buses,1,-71.79528,45.01
19,Roseau,Minnesota,3426,US-Canada Border,10/1/2018,Buses,1,-95.81074,48.77518
20,Trout River,New York,715,US-Canada Border,10/1/2018,Buses,1,-73.44253,44.99001
